,Year,DATE,Julian day,United Kingdom
0,2020.0027,01/01/2020,1,0.0%
1,2020.0054,02/01/2020,2,0.0%
2,2020.0082,03/01/2020,3,0.0%
3,2020.0109,04/01/2020,4,0.0%
4,2020.0136,05/01/2020,5,0.0%
5,2020.0163,06/01/2020,6,0.0%
6,2020.0191,07/01/2020,7,0.0%
7,2020.0218,08/01/2020,8,0.0%
8,2020.0245,09/01/2020,9,0.0%
9,2020.0273,10/01/2020,10,0.0%
10,2020.03,11/01/2020,11,0.0%
11,2020.0327,12/01/2020,12,0.0%
12,2020.0355,13/01/2020,13,0.0%
13,2020.0382,14/01/2020,14,0.0%
14,2020.0409,15/01/2020,15,0.0%
15,2020.0437,16/01/2020,16,0.0%
16,2020.0464,17/01/2020,17,0.0%
17,2020.0491,18/01/2020,18,0.0%
18,2020.0519,19/01/2020,19,0.0%
19,2020.0546,20/01/2020,20,0.0%
20,2020.0573,21/01/2020,21,0.0%
21,2020.0601,22/01/2020,22,0.0%
22,2020.0628,23/01/2020,23,0.0%
23,2020.0655,24/01/2020,24,0.0%
24,2020.0683,25/01/2020,25,0.0%
25,2020.0710000000001,26/01/2020,26,0.0%
26,2020.0737,27/01/2020,27,0.0%
27,2020.0765,28/01/2020,28,0.0%
28,2020.0792,29/01/2020,29,0.0%
29,2020.0819,30/01/2020,30,0.0%
30,2020.0847,31/01/2020,31,0.0%
31,2020.0874,01/02/2020,32,0.0%
32,2020.0901,02/02/2020,33,0.0%
33,2020.0929,03/02/2020,34,0.0%
34,2020.0956,04/02/2020,35,0.0%
35,2020.0983,05/02/2020,36,0.0%
36,2020.1011,06/02/2020,37,0.0%
37,2020.1038,07/02/2020,38,-0.9%
38,2020.1065,08/02/2020,39,-1.8%
39,2020.1092,09/02/2020,40,-2.8%
40,2020.112,10/02/2020,41,-3.7%
41,2020.1147,11/02/2020,42,-4.6%
42,2020.1174,12/02/2020,43,-5.5%
43,2020.1202,13/02/2020,44,-6.4%
44,2020.1229,14/02/2020,45,-6.4%
45,2020.1256,15/02/2020,46,-6.4%
46,2020.1284,16/02/2020,47,-6.4%
47,2020.1311,17/02/2020,48,-6.4%
48,2020.1338,18/02/2020,49,-6.4%
49,2020.1366,19/02/2020,50,-6.4%
50,2020.1393,20/02/2020,51,-6.4%
51,2020.142,21/02/2020,52,-6.4%
52,2020.1448,22/02/2020,53,-6.4%
53,2020.1475,23/02/2020,54,-6.4%
54,2020.1502,24/02/2020,55,-6.4%
55,2020.1529999999998,25/02/2020,56,-6.4%
56,2020.1557,26/02/2020,57,-6.4%
57,2020.1584,27/02/2020,58,-6.4%
58,2020.1612,28/02/2020,59,-6.4%
59,2020.1639,29/02/2020,60,-6.4%
60,2020.1666,01/03/2020,61,-6.4%
61,2020.1694,02/03/2020,62,-6.4%
62,2020.1721,03/03/2020,63,-6.4%
63,2020.1748,04/03/2020,64,-6.4%
64,2020.1776,05/03/2020,65,-6.4%
65,2020.1803,06/03/2020,66,-6.4%
66,2020.183,07/03/2020,67,-6.4%
67,2020.1858,08/03/2020,68,-6.4%
68,2020.1885,09/03/2020,69,-6.4%
69,2020.1912,10/03/2020,70,-6.4%
70,2020.194,11/03/2020,71,-6.4%
71,2020.1967,12/03/2020,72,-6.4%
72,2020.1994,13/03/2020,73,-8.8%
73,2020.2021,14/03/2020,74,-11.2%
74,2020.2049,15/03/2020,75,-13.6%
75,2020.2076,16/03/2020,76,-16.0%
76,2020.2103,17/03/2020,77,-18.4%
77,2020.2131,18/03/2020,78,-20.8%
78,2020.2158,19/03/2020,79,-23.1%
79,2020.2185,20/03/2020,80,-23.1%
80,2020.2213,21/03/2020,81,-24.2%
81,2020.224,22/03/2020,82,-25.3%
82,2020.2267,23/03/2020,83,-26.4%
83,2020.2295,24/03/2020,84,-27.5%
84,2020.2322,25/03/2020,85,-28.6%
85,2020.2349,26/03/2020,86,-29.7%
86,2020.2377,27/03/2020,87,-30.7%
87,2020.2404,28/03/2020,88,-30.7%
88,2020.2431,29/03/2020,89,-30.7%
89,2020.2459,30/03/2020,90,-30.7%
90,2020.2486,31/03/2020,91,-30.7%
91,2020.2513,01/04/2020,92,-30.7%
92,2020.2541,02/04/2020,93,-30.7%
93,2020.2568,03/04/2020,94,-30.7%
94,2020.2595,04/04/2020,95,-30.7%
95,2020.2623,05/04/2020,96,-30.7%
96,2020.265,06/04/2020,97,-30.7%
97,2020.2677,07/04/2020,98,-30.7%
98,2020.2705,08/04/2020,99,-30.7%
99,2020.2732,09/04/2020,100,-30.7%
100,2020.2759,10/04/2020,101,-30.7%
101,2020.2787,11/04/2020,102,-30.7%
102,2020.2814,12/04/2020,103,-30.7%
103,2020.2841,13/04/2020,104,-30.7%
104,2020.2869,14/04/2020,105,-30.7%
105,2020.2896,15/04/2020,106,-30.7%
106,2020.2923,16/04/2020,107,-30.7%
107,2020.295,17/04/2020,108,-30.7%
108,2020.2978,18/04/2020,109,-30.7%
109,2020.3005,19/04/2020,110,-30.7%
110,2020.3032,20/04/2020,111,-30.7%
111,2020.306,21/04/2020,112,-30.7%
112,2020.3087,22/04/2020,113,-30.7%
113,2020.3114,23/04/2020,114,-30.7%
114,2020.3142,24/04/2020,115,-30.7%
115,2020.3169,25/04/2020,116,-30.7%
116,2020.3196,26/04/2020,117,-30.7%
117,2020.3224,27/04/2020,118,-30.7%
118,2020.3251,28/04/2020,119,-30.7%
119,2020.3278,29/04/2020,120,-30.7%
120,2020.3306,30/04/2020,121,-30.7%
121,2020.3333,01/05/2020,122,-30.7%
122,2020.336,02/05/2020,123,-30.7%
123,2020.3388,03/05/2020,124,-30.7%
124,2020.3415,04/05/2020,125,-30.7%
125,2020.3442,05/05/2020,126,-30.7%
126,2020.3470000000002,06/05/2020,127,-30.7%
127,2020.3497,07/05/2020,128,-30.7%
128,2020.3524,08/05/2020,129,-30.7%
129,2020.3552,09/05/2020,130,-30.7%
130,2020.3579,10/05/2020,131,-29.7%
131,2020.3606,11/05/2020,132,-28.6%
132,2020.3634,12/05/2020,133,-27.5%
133,2020.3661,13/05/2020,134,-26.4%
134,2020.3688,14/05/2020,135,-25.3%
135,2020.3716,15/05/2020,136,-24.2%
136,2020.3743,16/05/2020,137,-23.1%
137,2020.3770000000002,17/05/2020,138,-23.1%
138,2020.3798,18/05/2020,139,-23.1%
139,2020.3825,19/05/2020,140,-23.1%
140,2020.3852,20/05/2020,141,-23.1%
141,2020.3879,21/05/2020,142,-23.1%
142,2020.3907,22/05/2020,143,-23.1%
143,2020.3934,23/05/2020,144,-23.1%
144,2020.3961,24/05/2020,145,-23.1%
145,2020.3989,25/05/2020,146,-23.1%
146,2020.4016,26/05/2020,147,-23.1%
147,2020.4043,27/05/2020,148,-23.1%
148,2020.4071,28/05/2020,149,-23.1%
149,2020.4098,29/05/2020,150,-23.1%
150,2020.4125,30/05/2020,151,-23.1%
151,2020.4153,31/05/2020,152,-23.1%
152,2020.418,01/06/2020,153,-23.1%
153,2020.4207,02/06/2020,154,-23.1%
154,2020.4235,03/06/2020,155,-23.1%
155,2020.4262,04/06/2020,156,-23.1%
156,2020.4289,05/06/2020,157,-23.1%
157,2020.4317,06/06/2020,158,-23.1%
158,2020.4344,07/06/2020,159,-23.1%
159,2020.4371,08/06/2020,160,-23.1%
160,2020.4399,09/06/2020,161,-23.1%
161,2020.4426,10/06/2020,162,-23.1%
162,2020.4453,11/06/2020,163,-23.1%
