Figure 4,,,,,,,,,,,,,,,,,,,,
Change in global daily fossil CO2 emissions (MtCO2 per day) by sector,,,,,,,,,,,,,,,,,,,,
MtCO2: million tonnes of carbon dioxide,,,,,,,,,,,,,,,,,,,,
,,,Power,,,Industry,,,Surface Transport,,,Public,,,Residential,,,Aviation,,
year,Julian doy,date,value,high uncertainty,low uncertainty,value,high uncertainty,low uncertainty,value,high uncertainty,low uncertainty,value,high uncertainty,low uncertainty,value,high uncertainty,low uncertainty,value,high uncertainty,low uncertainty
2020.003,1,01/01/2020,,,,,,,,,,,,,,,,,,
2020.005,2,02/01/2020,,,,,,,,,,,,,,,,,,
2020.008,3,03/01/2020,,,,,,,,,,,,,,,,,,
2020.011,4,04/01/2020,0,0,0,-0.014,0,-0.029,-0.017,-0.001,-0.034,-0.0011,0,-0.002,0,0,0,-0.007,0,-0.017
2020.014,5,05/01/2020,0,0,0,-0.017,0,-0.035,-0.021,-0.001,-0.041,-0.0014,0,-0.003,0,0,0,-0.008,0,-0.021
2020.016,6,06/01/2020,0,0,0,-0.02,0,-0.04,-0.024,-0.001,-0.047,-0.0016,0,-0.003,0,0,0,-0.01,0,-0.024
2020.019,7,07/01/2020,0,0,0,-0.02,0,-0.04,-0.024,-0.001,-0.047,-0.0016,0,-0.003,0,0,0,-0.01,0,-0.024
2020.022,8,08/01/2020,0,0,0,-0.02,0,-0.04,-0.024,-0.001,-0.047,-0.0016,0,-0.003,0,0,0,-0.01,0,-0.024
2020.025,9,09/01/2020,0,0,0,-0.02,0,-0.04,-0.024,-0.001,-0.047,-0.0016,0,-0.003,0,0,0,-0.01,0,-0.024
2020.027,10,10/01/2020,0,0,0,-0.02,0,-0.04,-0.024,-0.001,-0.047,-0.0016,0,-0.003,0,0,0,-0.01,0,-0.024
2020.030,11,11/01/2020,0,0,0,-0.02,0,-0.04,-0.024,-0.001,-0.047,-0.0016,0,-0.003,0,0,0,-0.01,0,-0.024
2020.033,12,12/01/2020,0,0,0,-0.02,0,-0.04,-0.024,-0.001,-0.047,-0.0016,0,-0.003,0,0,0,-0.01,0,-0.024
2020.036,13,13/01/2020,0,0,0,-0.02,0,-0.04,-0.024,-0.001,-0.047,-0.0016,0,-0.003,0,0,0,-0.01,0,-0.024
2020.038,14,14/01/2020,0,0,0,-0.02,0,-0.04,-0.024,-0.001,-0.047,-0.0016,0,-0.003,0,0,0,-0.01,0,-0.024
2020.041,15,15/01/2020,0,0,0,-0.051,0,-0.102,-0.038,-0.001,-0.074,-0.0036,0,-0.007,0,0,0,-0.012,0,-0.03
2020.044,16,16/01/2020,0,0,0,-0.082,0,-0.163,-0.051,-0.002,-0.1,-0.0056,0,-0.011,0,0,0,-0.014,0,-0.035
2020.046,17,17/01/2020,0,0,0,-0.112,0,-0.225,-0.064,-0.002,-0.126,-0.0077,0,-0.015,0,0,0,-0.016,0,-0.04
2020.049,18,18/01/2020,0,0,0,-0.143,0,-0.286,-0.077,-0.002,-0.152,-0.0097,0,-0.019,0,0,0,-0.018,0,-0.045
2020.052,19,19/01/2020,0,0,0,-0.174,0,-0.348,-0.09,-0.002,-0.178,-0.0117,0,-0.023,0,0,0,-0.02,0,-0.05
2020.055,20,20/01/2020,-0.014,0,-0.042,-0.224,0,-0.456,-0.129,-0.025,-0.233,-0.0195,-0.0013,-0.037,0,-0.0019,0.0019,-0.031,-0.006,-0.066
2020.057,21,21/01/2020,-0.059,0,-0.177,-0.357,0,-0.752,-0.222,-0.091,-0.353,-0.0408,-0.0053,-0.075,0,-0.0078,0.0078,-0.058,-0.022,-0.108
2020.060,22,22/01/2020,-0.153,0,-0.459,-0.526,0,-1.144,-0.341,-0.189,-0.493,-0.0702,-0.0115,-0.127,0,-0.0165,0.0165,-0.109,-0.058,-0.174
2020.063,23,23/01/2020,-0.247,0,-0.741,-0.698,0,-1.543,-0.461,-0.287,-0.635,-0.0999,-0.0176,-0.179,0,-0.0252,0.0252,-0.16,-0.095,-0.24
2020.066,24,24/01/2020,-0.341,0,-1.023,-0.87,0,-1.941,-0.581,-0.385,-0.777,-0.1296,-0.0238,-0.231,0,-0.0339,0.0339,-0.211,-0.131,-0.307
2020.068,25,25/01/2020,-0.435,0,-1.305,-1.051,0,-2.358,-0.71,-0.484,-0.935,-0.1607,-0.03,-0.286,0,-0.0426,0.0426,-0.264,-0.167,-0.38
2020.071,26,26/01/2020,-0.529,0,-1.586,-1.232,0,-2.774,-0.838,-0.583,-1.094,-0.1919,-0.0361,-0.34,0,-0.0514,0.0514,-0.318,-0.204,-0.452
2020.074,27,27/01/2020,-0.609,0,-1.826,-1.395,0,-3.147,-0.946,-0.659,-1.232,-0.2177,-0.0411,-0.386,0,-0.0582,0.0582,-0.364,-0.234,-0.517
2020.077,28,28/01/2020,-0.658,0,-1.973,-1.514,0,-3.408,-1.072,-0.695,-1.449,-0.2347,-0.0432,-0.418,0,-0.061,0.061,-0.413,-0.254,-0.605
2020.079,29,29/01/2020,-0.658,0,-1.973,-1.572,0,-3.524,-1.165,-0.699,-1.63,-0.242,-0.0432,-0.432,0,-0.061,0.061,-0.438,-0.254,-0.668
2020.082,30,30/01/2020,-0.662,-0.0024,-1.978,-1.631,-0.002,-3.639,-1.261,-0.703,-1.819,-0.2508,-0.0448,-0.448,0.0003,-0.0607,0.0613,-0.464,-0.254,-0.734
2020.085,31,31/01/2020,-0.682,-0.0121,-1.997,-1.72,-0.027,-3.788,-1.373,-0.71,-2.037,-0.2613,-0.0474,-0.467,0.0015,-0.0595,0.0625,-0.493,-0.254,-0.806
2020.087,32,01/02/2020,-0.753,-0.0476,-2.068,-1.844,-0.101,-3.946,-1.491,-0.722,-2.266,-0.2735,-0.0525,-0.486,0.0046,-0.0564,0.0656,-0.521,-0.256,-0.875
2020.090,33,02/02/2020,-0.846,-0.0942,-2.161,-2.009,-0.219,-4.134,-1.618,-0.736,-2.515,-0.2872,-0.0589,-0.507,0.0089,-0.0521,0.0699,-0.551,-0.257,-0.946
2020.093,34,03/02/2020,-0.963,-0.1526,-2.278,-2.225,-0.404,-4.346,-1.745,-0.751,-2.762,-0.302,-0.067,-0.528,0.0147,-0.0463,0.0757,-0.579,-0.259,-1.015
2020.096,35,04/02/2020,-1.088,-0.2151,-2.403,-2.41,-0.597,-4.485,-1.799,-0.763,-2.867,-0.3126,-0.0754,-0.541,0.0207,-0.0403,0.0817,-0.588,-0.262,-1.034
2020.098,36,05/02/2020,-1.218,-0.2801,-2.533,-2.596,-0.798,-4.615,-1.848,-0.776,-2.963,-0.323,-0.0841,-0.553,0.0271,-0.0339,0.0881,-0.594,-0.264,-1.048
2020.101,37,06/02/2020,-1.355,-0.3487,-2.671,-2.789,-1.012,-4.745,-1.895,-0.79,-3.053,-0.3323,-0.092,-0.564,0.0338,-0.0272,0.0948,-0.6,-0.267,-1.059
2020.104,38,07/02/2020,-1.485,-0.4137,-2.8,-2.961,-1.212,-4.848,-1.934,-0.802,-3.13,-0.341,-0.0995,-0.574,0.04,-0.021,0.101,-0.605,-0.269,-1.071
2020.107,39,08/02/2020,-1.565,-0.4535,-2.88,-3.096,-1.371,-4.927,-1.959,-0.809,-3.18,-0.3469,-0.1047,-0.581,0.0444,-0.0166,0.1054,-0.61,-0.27,-1.08
2020.109,40,09/02/2020,-1.622,-0.4823,-2.938,-3.19,-1.486,-4.977,-1.975,-0.814,-3.21,-0.3512,-0.1085,-0.585,0.0476,-0.0134,0.1086,-0.613,-0.272,-1.087
2020.112,41,10/02/2020,-1.674,-0.5083,-2.99,-3.237,-1.543,-5.003,-1.987,-0.818,-3.235,-0.3544,-0.1112,-0.589,0.0497,-0.0113,0.1107,-0.616,-0.272,-1.093
2020.115,42,11/02/2020,-1.721,-0.5318,-3.037,-3.29,-1.605,-5.035,-2.003,-0.822,-3.266,-0.3583,-0.1145,-0.593,0.0518,-0.0092,0.1128,-0.619,-0.273,-1.101
2020.117,43,12/02/2020,-1.763,-0.5527,-3.079,-3.337,-1.658,-5.064,-2.017,-0.826,-3.294,-0.3617,-0.1174,-0.597,0.0535,-0.0075,0.1145,-0.622,-0.274,-1.108
2020.120,44,13/02/2020,-1.793,-0.5677,-3.108,-3.371,-1.696,-5.087,-2.03,-0.829,-3.319,-0.3644,-0.1196,-0.601,0.0546,-0.0064,0.1156,-0.625,-0.274,-1.116
2020.123,45,14/02/2020,-1.816,-0.5789,-3.131,-3.397,-1.725,-5.103,-2.035,-0.83,-3.329,-0.3661,-0.1212,-0.602,0.0554,-0.0056,0.1165,-0.625,-0.275,-1.116
