date,temperature,rain,avg_monthly_temperature
09/03/2020,10,1,9.4
10/03/2020,14,0,9.4
11/03/2020,13,0,9.4
12/03/2020,10,0,9.4
13/03/2020,11,0,9.4
14/03/2020,11,0,9.4
15/03/2020,10,1,9.4
16/03/2020,11,0,9.4
17/03/2020,12,0,9.4
18/03/2020,14,0,9.4
19/03/2020,8,1,9.4
20/03/2020,9,0,9.4
21/03/2020,8,0,9.4
22/03/2020,8,0,9.4
23/03/2020,11,0,9.4
24/03/2020,14,0,9.4
25/03/2020,13,0,9.4
26/03/2020,10,0,9.4
27/03/2020,12,0,9.4
28/03/2020,11,1,9.4
29/03/2020,7,0,9.4
30/03/2020,8,0,9.4
31/03/2020,9,0,9.4
01/04/2020,9,0,12.3
02/04/2020,12,0,12.3
03/04/2020,12,0,12.3
04/04/2020,15,0,12.3
05/04/2020,19,0,12.3
06/04/2020,16,0,12.3
07/04/2020,18,0,12.3
08/04/2020,20,0,12.3
09/04/2020,22,0,12.3
10/04/2020,22,0,12.3
11/04/2020,23,0,12.3
12/04/2020,22,0,12.3
13/04/2020,12,0,12.3
14/04/2020,11,0,12.3
15/04/2020,17,0,12.3
16/04/2020,19,0,12.3
17/04/2020,11,0,12.3
18/04/2020,13,0,12.3
19/04/2020,16,0,12.3
20/04/2020,14,0,12.3
21/04/2020,15,0,12.3
22/04/2020,18,0,12.3
23/04/2020,22,0,12.3
24/04/2020,21,0,12.3
25/04/2020,15,0,12.3
26/04/2020,18,0,12.3
27/04/2020,18,0,12.3
