Year,"Historical emissions, excl forestry",Current policy projections,2020 Pledge,2030 Pledge,2050 Pledge
1990,794,,,,
1991,803,,,,
1992,782,,,,
1993,763,,,,
1994,754,,,,
1995,747,,,,
1996,769,,,,
1997,744,,,,
1998,742,,,,
1999,712,,,,
2000,711,,,,
2001,715,,,,
2002,695,,,,
2003,702,,,,
2004,699,,,,
2005,691,,,,
2006,683,,,,
2007,672,,,,
2008,651,,,,
2009,595,,,,
2010,610,,,,
2011,563,,,,
2012,579,,,,
2013,566,,,,
2014,525,,,,
2015,508,,,,
2016,483,,,,
2017,470,,,,
2018,460,460,,,
2019,,440,,,
2020,,430,542,,
2021,,417,,,
2022,,411,,,
2023,,408,,,
2024,,403,,,
2025,,399,,,
2026,,396,,,
2027,,398,,,
2028,,396,,,
2029,,393,,,
2030,,389,,356,
2031,,386,,,
2032,,383,,,
2033,,382,,,
2034,,380,,,
2035,,378,,,
2036,,,,,
2037,,,,,
2038,,,,,
2039,,,,,
2040,,,,,
2041,,,,,
2042,,,,,
2043,,,,,
2044,,,,,
2045,,,,,
2046,,,,,
2047,,,,,
2048,,,,,
2049,,,,,
2050,,,,,0
