Date,Relevance,Headline,Detail (Source)
31-Dec-19,0,China alerts WHO to new virus,
18-Jan-20,0,China confirms human-to-human transmission,
21-Jan-20,0,Wuhan is locked down,
21-Jan-20,0,Johnson skips first Cobra meeting on the crisis,
24-Jan-20,0,January to March: Government fails to check or quarantine airport arrivals,Fewer than 300 people out of the 18.1 million who entered the UK in the three months prior to the coronavirus lockdown were formally quarantined. The number of potentially infected individuals entering the UK from coronavirus-affected countries in that period is thought to be in the tens of thousands. (Guardian)
25-Jan-20,0,"The Foreign and Commonwealth Office advises against all travel to China's Hubei Province, where the city of Wuhan, the original epicentre of the outbreak, is located.[5]",
26-Jan-20,0,Johnson misses second Cobra meeting on the virus (Spectator),
27-Jan-20,0,"The Health Secretary, Matt Hancock, tells the House of Commons that 200 British citizens trapped in Wuhan, China, will be offered repatriation to the UK, in light of the coronavirus outbreak there.[6]",
28-Jan-20,0,"The Foreign and Commonwealth Office updates its travel advisory, advising against all but essential travel to the rest of Mainland China.[7]",
29-Jan-20,0,WHO declares 'public health emergency of international concern',
29-Jan-20,0,"British Airways suspends all flights to and from mainland China with immediate effect, due to the ongoing coronavirus threat.[8]",
30-Jan-20,1,UK raises threat level from 'low' to 'moderate',
30-Jan-20,0,Two people in the UK test positive for coronavirus,
31-Jan-20,0,"The virus has infected almost 10,000 people globally, with 213 fatalities in China.",
31-Jan-20,0,NHS England declares first ever 'Level 4 Critical Incident',
31-Jan-20,0,UK declines to join European scheme to source PPE,"On the day Britain leaves the European Union, UK officials attend a meeting of the European health security committee at which a joint scheme to secure medical supplies is discussed. The supplies include personal protective equipment (PPE) such as masks, goggles and gloves. Despite being eligible to join the scheme and being present in subsequent meetings at which it is discussed, the UK declines to join. (Guardian)"
31-Jan-20,0,The first two cases of coronavirus (2019-nCoV) in the United Kingdom are confirmed.[9],
02-Feb-20,0,Johnson misses third Cobra virus meeting (Spectator),
05-Feb-20,0,More cases confirmed in UK,"A British businessman in Brighton tests positive following a trip to Singapore. The 'superspreader' will be linked to 11 cases, five of which are in the UK. (Metro)"
06-Feb-20,0,A third case of coronavirus is confirmed in the UK.[10],
07-Feb-20,0,"As the danger grows, Johnson urges Britons to remain ""confident and calm"" (ITV News)",
10-Feb-20,0,The total number of cases in the UK reaches eight as four further cases are confirmed in people linked to an affected man from Brighton.[11][12],
11-Feb-20,0,Study warns that coronavirus could infect 45 million people in the UK if left unchallenged,Exeter University research warns that Covid-19 cases could peak within four months and infect two-thirds of the country. (Reuters)
