Date,Cars,LCV,HGV,All_motor,National_rail,Tube_London,Bus_London,Bus_Others,Cycling
01/03/2020,1.03,1.11,1.08,1.04,0.96,1.04,1.02,NA,NA
02/03/2020,1.02,1.06,1.03,1.03,0.94,0.95,0.97,NA,NA
03/03/2020,1.01,1.05,1.02,1.02,0.95,0.95,0.96,NA,NA
04/03/2020,1.01,1.05,1.03,1.01,0.95,0.95,0.97,NA,NA
05/03/2020,1,1.03,1.02,1,0.97,0.92,0.92,NA,NA
06/03/2020,1.02,1.03,1.02,1.02,0.99,0.92,0.96,NA,NA
07/03/2020,1.01,1.09,1.08,1.02,0.99,0.91,0.93,NA,NA
08/03/2020,1.05,1.13,1.12,1.06,0.99,0.87,0.95,NA,NA
09/03/2020,1.02,1.07,1.04,1.03,1,0.9,0.95,1.02,1.05
10/03/2020,0.99,1.05,1.03,1.01,0.99,0.89,0.97,1.02,0.82
11/03/2020,0.99,1.04,1.03,1,0.98,0.86,0.93,0.98,1.18
12/03/2020,0.98,1.02,1.02,0.99,0.96,0.81,0.92,0.98,1.2
13/03/2020,0.98,1,1.02,0.98,0.92,0.72,0.87,0.94,0.98
14/03/2020,0.93,1.02,1.08,0.95,0.89,0.61,0.83,0.85,1.26
15/03/2020,0.94,1.05,1.12,0.96,0.85,0.54,0.74,0.85,0.93
16/03/2020,0.96,1.03,1.04,0.98,0.78,0.6,0.79,0.88,1.04
17/03/2020,0.87,0.95,1.03,0.89,0.69,0.44,0.7,0.77,0.77
18/03/2020,0.8,0.9,1,0.83,0.59,0.35,0.65,0.62,0.93
19/03/2020,0.79,0.88,1,0.82,0.51,0.3,0.59,0.58,0.92
20/03/2020,0.78,0.85,0.98,0.81,0.43,0.24,0.52,0.53,0.83
21/03/2020,0.7,0.79,1.02,0.73,0.37,0.13,0.39,0.4,1.19
22/03/2020,0.66,0.73,1.01,0.69,0.33,0.11,0.32,0.35,1.27
23/03/2020,0.64,0.77,0.97,0.69,0.25,0.15,0.31,0.27,0.87
24/03/2020,0.44,0.55,0.84,0.49,0.2,0.09,0.22,0.17,0.86
25/03/2020,0.37,0.47,0.77,0.42,0.16,0.07,0.19,0.14,1.31
26/03/2020,0.35,0.43,0.72,0.39,0.13,0.06,0.18,0.13,1.34
27/03/2020,0.35,0.42,0.69,0.38,0.1,0.06,0.18,0.14,1.07
28/03/2020,0.27,0.34,0.71,0.3,0.09,0.04,0.17,0.12,1.26
29/03/2020,0.23,0.29,0.72,0.25,0.08,0.04,0.16,0.13,0.83
30/03/2020,0.33,0.41,0.64,0.36,0.06,0.05,0.17,0.12,0.73
31/03/2020,0.32,0.39,0.62,0.36,0.05,0.05,0.17,0.12,0.98
01/04/2020,0.32,0.39,0.61,0.35,0.05,0.05,0.16,0.11,1.13
